Author,Title,Text
Pablo Neruda,Enigmas ,"You've asked me what the lobster is weaving there with
his golden feet?
I reply, the ocean knows this.
You say, what is the ascidia waiting for in its transparent
bell? What is it waiting for?
I tell you it is waiting for time, like you.
You ask me whom the Macrocystis alga hugs in its arms?
Study, study it, at a certain hour, in a certain sea I know.
You question me about the wicked tusk of the narwhal,
and I reply by describing
how the sea unicorn with the harpoon in it dies.
You enquire about the kingfisher's feathers,
which tremble in the pure springs of the southern tides?
Or you've found in the cards a new question touching on
the crystal architecture
of the sea anemone, and you'll deal that to me now?
You want to understand the electric nature of the ocean
spines?
The armored stalactite that breaks as it walks?
The hook of the angler fish, the music stretched out
in the deep places like a thread in the water?

I want to tell you the ocean knows this, that life in its
jewel boxes
is endless as the sand, impossible to count, pure,
and among the blood-colored grapes time has made the
petal
hard and shiny, made the jellyfish full of light
and untied its knot, letting its musical threads fall
from a horn of plenty made of infinite mother-of-pearl.

I am nothing but the empty net which has gone on ahead
of human eyes, dead in those darknesses,
of fingers accustomed to the triangle, longitudes
on the timid globe of an orange.

I walked around as you do, investigating
the endless star,
and in my net, during the night, I woke up naked,
the only thing caught, a fish trapped inside the wind."
Pablo Neruda,Puedo Escribir ,"Puedo escribir los versos más tristes esta noche.

Escribir, por ejemplo: 'La noche está estrellada,
y tiritan, azules, los astros, a lo lejos.'

El viento de la noche gira en el cielo y canta.

Puedo escribir los versos más tristes esta noche.
Yo la quise, y a veces ella también me quiso.

En las noches como ésta la tuve entre mis brazos.
La besé tantas veces bajo el cielo infinito.

Ella me quiso, a veces yo también la quería.
Cómo no haber amado sus grandes ojos fijos.

Puedo escribir los versos más tristes esta noche.
Pensar que no la tengo. Sentir que la he perdido.

Oir la noche inmensa, más inmnesa sin ella.
Y el verso cae al alma como al pasto el rocío.

Qué importa que mi amor no pudiera guadarla.
La noche está estrellada y ella no está conmigo.

Eso es todo. A lo lejos alguien canta. A lo lejos.
Mi alma no se contenta con haberla perdido.

Como para acercarla mi mirada la busca.
Mi corazón la busca, y ella no está conmigo.

La misma noche que hace blanquear los mismos árboles.
Nosotros, los de entonces, ya no somos los mismos.

Ya no la quiero, es cierto, pero cuánto la quise.
Mi voz buscaba el viento para tocar su oído.

De otro. Será de otro. Como antes de mis besos.
Su voz, su cuerpo claro. Sus ojos infinitos.

Ya no la quiero, es cierto, pero tal vez la quiero.
Es tan corto el amor, y es tan largo el olvido.

Porque en noches como ésta la tuve entre mis brazos,
mi alma no se contenta con haberla perdido.

Aunque éste sea el último dolor que ella me causa,
y éstos sean los últimos versos que yo le escribo."
Pablo Neruda,The Light Wraps You ,"The light wraps you in its mortal flame.
Abstracted pale mourner, standing that way
against the old propellers of the twighlight
that revolves around you.

Speechless, my friend,
alone in the loneliness of this hour of the dead
and filled with the lives of fire,
pure heir of the ruined day.

A bough of fruit falls from the sun on your dark garment.
The great roots of night
grow suddenly from your soul,
and the things that hide in you come out again
so that a blue and palled people
your newly born, takes nourishment.

Oh magnificent and fecund and magnetic slave
of the circle that moves in turn through black and gold:
rise, lead and possess a creation
so rich in life that its flowers perish
and it is full of sadness."
Pablo Neruda,Cat's Dream ,"How neatly a cat sleeps,
Sleeps with its paws and its posture,
Sleeps with its wicked claws,
And with its unfeeling blood,
Sleeps with ALL the rings a series
Of burnt circles which have formed
The odd geology of its sand-colored tail.

I should like to sleep like a cat,
With all the fur of time,
With a tongue rough as flint,
With the dry sex of fire and
After speaking to no one,
Stretch myself over the world,
Over roofs and landscapes,
With a passionate desire
To hunt the rats in my dreams.

I have seen how the cat asleep
Would undulate, how the night flowed
Through it like dark water and at times,
It was going to fall or possibly
Plunge into the bare deserted snowdrifts.

Sometimes it grew so much in sleep
Like a tiger's great-grandfather,
And would leap in the darkness over
Rooftops, clouds and volcanoes.

Sleep, sleep cat of the night with
Episcopal ceremony and your stone-carved moustache.
Take care of all our dreams
Control the obscurity
Of our slumbering prowess
With your relentless HEART
And the great ruff of your tail."
Pablo Neruda,XXXIV (You are the daughter of the sea) ,"You are the daughter of the sea, oregano's first cousin.
Swimmer, your body is pure as the water;
cook, your blood is quick as the soil.
Everything you do is full of flowers, rich with the earth.

Your eyes go out toward the water, and the waves rise;
your hands go out to the earth and the seeds swell;
you know the deep essence of water and the earth,
conjoined in you like a formula for clay.

Naiad: cut your body into turquoise pieces,
they will bloom resurrected in the kitchen.
This is how you become everything that lives.

And so at last, you sleep, in the circle of my arms
that push back the shadows so that you can rest--
vegetables, seaweed, herbs: the foam of your dreams."
Pablo Neruda,Your Feet ,"When I cannot look at your face
I look at your feet.
Your feet of arched bone,
your hard little feet.
I know that they support you,
and that your sweet weight
rises upon them.
Your waist and your breasts,
the doubled purple
of your nipples,
the sockets of your eyes
that have just flown away,
your wide fruit mouth,
your red tresses,
my little tower.
But I love your feet
only because they walked
upon the earth and upon
the wind and upon the waters,
until they found me."
Pablo Neruda,Ode To The Onion ,"Onion,
luminous flask,
your beauty formed
petal by petal,
crystal scales expanded you
and in the secrecy of the dark earth
your belly grew round with dew.
Under the earth
the miracle
happened
and when your clumsy
green stem appeared,
and your leaves were born
like swords
in the garden,
the earth heaped up her power
showing your naked transparency,
and as the remote sea
in lifting the breasts of Aphrodite
duplicating the magnolia,
so did the earth
make you,
onion
clear as a planet
and destined
to shine,
constant constellation,
round rose of water,
upon
the table
of the poor.

You make us cry without hurting us.
I have praised everything that exists,
but to me, onion, you are
more beautiful than a bird
of dazzling feathers,
heavenly globe, platinum goblet,
unmoving dance
of the snowy anemone

and the fragrance of the earth lives
in your crystalline nature."
Pablo Neruda,Ode To The Artichoke ,"The artichoke
With a tender heart
Dressed up like a warrior,
Standing at attention, it built
A small helmet
Under its scales
It remained
Unshakeable,
By its side
The crazy vegetables
Uncurled
Their tendrills and leaf-crowns,
Throbbing bulbs,
In the sub-soil
The carrot
With its red mustaches
Was sleeping,
The grapevine
Hung out to dry its branches
Through which the wine will rise,
The cabbage
Dedicated itself
To trying on skirts,
The oregano
To perfuming the world,
And the sweet
Artichoke
There in the garden,
Dressed like a warrior,
Burnished
Like a proud
Pomegrante.
And one day
Side by side
In big wicker baskets
Walking through the market
To realize their dream
The artichoke army
In formation.
Never was it so military
Like on parade.
The men
In their white shirts
Among the vegetables
Were
The Marshals
Of the artichokes
Lines in close order
Command voices,
And the bang
Of a falling box.

But
Then
Maria
Comes
With her basket
She chooses
An artichoke,
She's not afraid of it.
She examines it, she observes it
Up against the light like it was an egg,
She buys it,
She mixes it up
In her handbag
With a pair of shoes
With a cabbage head and a
Bottle
Of vinegar
Until
She enters the kitchen
And submerges it in a pot.

Thus ends
In peace
This career
Of the armed vegetable
Which is called an artichoke,
Then
Scale by scale,
We strip off
The delicacy
And eat
The peaceful mush
Of its green heart."
Pablo Neruda,Tower Of Light ,"O tower of light, sad beauty
that magnified necklaces and statues in the sea,
calcareous eye, insignia of the vast waters, cry
of the mourning petrel, tooth of the sea, wife
of the Oceanian wind, O separate rose
from the long stem of the trampled bush
that the depths, converted into archipelago,
O natural star, green diadem,
alone in your lonesome dynasty,
still unattainable, elusive, desolate
like one drop, like one grape, like the sea."
Pablo Neruda,Nothing But Death ,"There are cemeteries that are lonely,
graves full of bones that do not make a sound,
the heart moving through a tunnel,
in it darkness, darkness, darkness,
like a shipwreck we die going into ourselves,
as though we were drowning inside our hearts,
as though we lived falling out of the skin into the soul.

And there are corpses,
feet made of cold and sticky clay,
death is inside the bones,
like a barking where there are no dogs,
coming out from bells somewhere, from graves somewhere,
growing in the damp air like tears of rain.

Sometimes I see alone
coffins under sail,
embarking with the pale dead, with women that have dead hair,
with bakers who are as white as angels,
and pensive young girls married to notary publics,
caskets sailing up the vertical river of the dead,
the river of dark purple,
moving upstream with sails filled out by the sound of death,
filled by the sound of death which is silence.

Death arrives among all that sound
like a shoe with no foot in it, like a suit with no man in it,
comes and knocks, using a ring with no stone in it, with no
finger in it,
comes and shouts with no mouth, with no tongue, with no
throat.
Nevertheless its steps can be heard
and its clothing makes a hushed sound, like a tree.

I'm not sure, I understand only a little, I can hardly see,
but it seems to me that its singing has the color of damp violets,
of violets that are at home in the earth,
because the face of death is green,
and the look death gives is green,
with the penetrating dampness of a violet leaf
and the somber color of embittered winter.

But death also goes through the world dressed as a broom,
lapping the floor, looking for dead bodies,
death is inside the broom,
the broom is the tongue of death looking for corpses,
it is the needle of death looking for thread.

Death is inside the folding cots:
it spends its life sleeping on the slow mattresses,
in the black blankets, and suddenly breathes out:
it blows out a mournful sound that swells the sheets,
and the beds go sailing toward a port
where death is waiting, dressed like an admiral."
Pablo Neruda,Ode To The Lemon ,"From blossoms
released
by the moonlight,
from an
aroma of exasperated
love,
steeped in fragrance,
yellowness
drifted from the lemon tree,
and from its plantarium
lemons descended to the earth.

Tender yield!
The coasts,
the markets glowed
with light, with
unrefined gold;
we opened
two halves
of a miracle,
congealed acid
trickled
from the hemispheres
of a star,
the most intense liqueur
of nature,
unique, vivid,
concentrated,
born of the cool, fresh
lemon,
of its fragrant house,
its acid, secret symmetry.

Knives
sliced a small
cathedral
in the lemon,
the concealed apse, opened,
revealed acid stained glass,
drops
oozed topaz,
altars,
cool architecture.

So, when you hold
the hemisphere
of a cut lemon
above your plate,
you spill
a universe of gold,
a
yellow goblet
of miracles,
a fragrant nipple
of the earth's breast,
a ray of light that was made fruit,
the minute fire of a planet."
Pablo Neruda,Magellanic Penguin ,"Neither clown nor child nor black
nor white but verticle
and a questioning innocence
dressed in night and snow:
The mother smiles at the sailor,
the fisherman at the astronaunt,
but the child child does not smile
when he looks at the bird child,
and from the disorderly ocean
the immaculate passenger
emerges in snowy mourning.

I was without doubt the child bird
there in the cold archipelagoes
when it looked at me with its eyes,
with its ancient ocean eyes:
it had neither arms nor wings
but hard little oars
on its sides:
it was as old as the salt;
the age of moving water,
and it looked at me from its age:
since then I know I do not exist;
I am a worm in the sand.

the reasons for my respect
remained in the sand:
the religious bird
did not need to fly,
did not need to sing,
and through its form was visible
its wild soul bled salt:
as if a vein from the bitter sea
had been broken.

Penguin, static traveler,
deliberate priest of the cold,
I salute your vertical salt
and envy your plumed pride."
